home,away,home_points,away_points,neutral
Team H4,Team B3,20,28,false
Team N1,Team K1,14,34,false
Team D1,Team H2,28,20,false
Team M1,Team O1,16,32,false
Team G2,Team L1,33,15,false
Team B4,Team G4,12,36,false
Team O2,Team G1,20,28,false
Team E4,Team F1,29,19,false
Team C2,Team J3,28,20,false
Team N4,Team A1,21,27,false
Team P2,Team K4,13,35,false
Team L2,Team J2,27,21,false
Team E1,Team P4,47,1,false
Team I1,Team F2,9,39,false
Team C3,Team O3,22,26,false
Team K3,Team I3,23,25,false
Team J1,Team B2,32,16,false
Team P3,Team I2,28,20,false
Team F4,Team E3,39,9,false
Team C4,Team A3,28,20,false
Team A4,Team D4,40,8,false
Team H1,Team G3,10,38,false
Team M3,Team M4,27,21,false
Team A2,Team L4,23,25,false
Team M2,Team D2,17,31,false
Team E2,Team P1,9,39,false
Team N2,Team J4,14,34,false
Team N3,Team K2,32,16,false
Team I4,Team H3,45,3,false
Team D3,Team C1,37,11,false
Team B1,Team L3,26,22,false
Team O4,Team F3,25,23,false
Team F3,Team M4,21,27,false
Team N1,Team M1,31,17,false
Team I1,Team J2,15,33,false
Team O2,Team M3,19,29,false
Team H3,Team J1,0,54,false
Team K2,Team L2,43,5,false
Team I3,Team H2,7,41,false
Team E2,Team J3,15,33,false
Team K1,Team P4,21,27,false
Team A4,Team B2,26,22,false
Team C1,Team A3,15,33,false
Team P3,Team C4,25,23,false
Team L4,Team G3,18,30,false
Team B1,Team B3,2,46,false
Team P1,Team E3,37,11,false
Team O4,Team G1,19,29,false
Team D2,Team I4,37,11,false
Team G4,Team L3,30,18,false
Team N2,Team G2,14,34,false
Team F1,Team D4,21,27,false
Team N3,Team H1,44,4,false
Team N4,Team F2,26,22,false
Team C3,Team I2,31,17,false
Team D1,Team O1,21,27,false
Team K4,Team C2,30,18,false
Team E4,Team F4,7,41,false
Team A1,Team E1,4,44,false
Team O3,Team K3,26,22,false
Team J4,Team M2,23,25,false
Team H4,Team B4,32,16,false
Team L1,Team D3,7,41,false
Team A2,Team P2,20,28,false
