team,rating
Team A1,-10.02
Team A2,5.81
Team A3,11.08
Team A4,-4.3
Team B1,-12.56
Team B2,-3.05
Team B3,0.72
Team B4,9.4
Team C1,-9.8
Team C2,-6.88
Team C3,10.97
Team C4,8.95
Team D1,18.45
Team D2,12.62
Team D3,-0.28
Team D4,0.34
Team E1,32.8
Team E2,-4.2
Team E3,-10.62
Team E4,-3.54
Team F1,1.93
Team F2,5.34
Team F3,0.05
Team F4,-5.16
Team G1,12.46
Team G2,14.03
Team G3,11.68
Team G4,5.11
Team H1,-17.39
Team H2,3.48
Team H3,-14.65
Team H4,-0.22
Team I1,-10.27
Team I2,2.86
Team I3,-7.55
Team I4,7.56
Team J1,29.96
Team J2,2.69
Team J3,12.87
Team J4,-14.4
Team K1,-10.04
Team K2,3.0
Team K3,0.02
Team K4,5.81
Team L1,7.23
Team L2,-14.08
Team L3,5.65
Team L4,-5.53
Team M1,18.09
Team M2,-14.53
Team M3,10.09
Team M4,9.27
Team N1,13.54
Team N2,-9.69
Team N3,8.34
Team N4,-0.35
Team O1,22.59
Team O2,8.71
Team O3,1.87
Team O4,-1.57
Team P1,7.35
Team P2,12.13
Team P3,13.68
Team P4,-5.67
