home,away,neutral,market_home_line,home_price,away_price,market_total,home_rest_days,away_rest_days,away_body_clock
Team C2,Team B1,false,-1.0,-110,-110,49.3,7,7,false
Team F4,Team H4,false,-3.0,-110,-110,51.1,7,7,false
Team M2,Team I2,false,3.0,-110,-110,60.4,7,7,false
Team O4,Team K3,false,4.0,-110,-110,63.0,7,7,false
Team N4,Team E3,false,-9.5,-110,-110,45.5,7,7,false
Team J2,Team K4,false,3.0,-110,-110,44.5,7,7,false
Team A4,Team M1,false,21.0,-110,-110,58.3,7,7,false
Team J4,Team I3,false,4.5,-110,-110,39.6,7,7,false
Team G4,Team L2,false,-14.0,-110,-110,65.2,7,7,false
Team H3,Team M4,false,13.5,-110,-110,50.3,7,7,false
Team O3,Team A2,false,-0.5,-110,-110,49.9,7,7,false
Team A3,Team E1,false,12.0,-110,-110,50.1,7,7,false
Team C4,Team L4,false,-15.5,-110,-110,51.0,7,7,false
Team F3,Team N1,false,12.0,-110,-110,50.4,7,7,false
Team C3,Team P3,false,5.5,-110,-110,59.4,7,7,false
Team E2,Team E4,false,-12.0,-110,-110,48.9,7,7,false
Team O1,Team P2,false,-10.5,-110,-110,49.6,7,7,false
Team D4,Team J3,false,8.0,-110,-110,50.3,7,7,false
Team B4,Team B3,false,-6.0,-110,-110,47.8,7,7,false
Team D2,Team P4,false,-16.0,-110,-110,59.9,7,7,false
Team P1,Team F2,false,-7.5,-110,-110,57.3,7,7,false
Team I1,Team K2,false,20.0,-110,-110,38.2,7,7,false
Team J1,Team I4,false,-34.0,-110,-110,52.9,7,7,false
Team N2,Team A1,false,-8.0,-110,-110,61.1,7,7,false
Team K1,Team D1,false,16.5,-110,-110,50.3,7,7,false
Team H2,Team H1,false,-27.0,-110,-110,50.5,7,7,false
Team C1,Team G1,false,13.0,-110,-110,56.7,7,7,false
Team L3,Team G3,false,2.5,-110,-110,46.3,7,7,false
Team B2,Team D3,false,-3.5,-110,-110,59.7,7,7,false
Team O2,Team L1,false,-6.0,-110,-110,58.9,7,7,false
Team M3,Team N3,false,2.0,-110,-110,57.8,7,7,false
Team G2,Team F1,false,-8.0,-110,-110,56.6,7,7,false
