game,opening_line,source
Akron @ Minnesota,-23.0,capture
Coastal Carolina @ Delaware,-4.7,capture
Colorado @ Northwestern,-3.4,capture
East Carolina @ Old Dominion,-2.8,capture
Eastern Michigan @ Wisconsin,-23.9,capture
Florida @ Auburn,2.6,capture
Florida International @ Florida Atlantic,-6.6,capture
Georgia @ Arkansas,25.5,capture
Houston @ Texas Tech,-7.4,capture
Kennesaw State @ Tennessee,-35.4,capture
Kentucky @ Texas A&M,-17.0,capture
LSU @ Ole Miss,3.0,capture
Louisiana Tech @ Baylor,-19.5,capture
Miami (OH) @ Cincinnati,-14.8,capture
Michigan State @ Notre Dame,-29.4,capture
Nevada @ Middle Tennessee,3.9,capture
New Mexico @ Oklahoma,-21.2,capture
North Carolina @ Clemson,-3.2,capture
Northern Illinois @ Arizona,-33.3,capture
Ohio @ South Alabama,-6.9,capture
Purdue @ UCLA,-14.0,capture
SMU @ Louisville,-1.7,capture
Stanford @ Duke,-10.1,capture
Temple @ Toledo,-5.8,capture
Troy @ Missouri,-27.2,capture
UAB @ Louisiana,-7.4,capture
UConn @ Southern Miss,3.1,capture
USC @ Rutgers,21.4,capture
UTEP @ Michigan,-34.8,capture
UTSA @ Texas,-29.8,capture
Utah State @ Utah,-28.4,capture
Virginia Tech @ Maryland,2.9,capture
West Virginia @ Virginia,-10.5,capture
Western Kentucky @ Indiana,-44.6,capture
Western Michigan @ Rice,9.5,capture
Wyoming @ Central Michigan,0.2,capture
