game,projected_margin,side,posted_line,total,kickoff
Liberty @ Delaware,-2.34,,,52.0,2026-10-02T23:00:00.000Z
North Texas @ Tulsa,-2.23,,,52.0,2026-10-02T01:00:00.000Z
Pittsburgh @ Virginia Tech,0.04,,,52.0,2026-10-02T23:00:00.000Z
Western Kentucky @ New Mexico State,4.53,,,52.0,2026-10-02T00:00:00.000Z
Akron @ Central Michigan,11.96,,,52.0,2026-10-03T04:00:00.000Z
Alabama @ Mississippi State,-2.97,,,52.0,2026-10-03T04:00:00.000Z
Arkansas @ Texas A&M,21.85,,,52.0,2026-10-03T04:00:00.000Z
Arkansas State @ Louisiana,8.15,,,52.0,2026-10-03T04:00:00.000Z
Army @ Louisiana Tech,-4.44,,,52.0,2026-10-03T04:00:00.000Z
Auburn @ Tennessee,11.56,,,52.0,2026-10-03T04:00:00.000Z
BYU @ TCU,-4.88,,,52.0,2026-10-03T04:00:00.000Z
Baylor @ Arizona State,-1.09,,,52.0,2026-10-03T04:00:00.000Z
Boston College @ SMU,16.1,,,52.0,2026-10-03T04:00:00.000Z
Bowling Green @ Miami (OH),10.54,,,52.0,2026-10-03T04:00:00.000Z
California @ UNLV,7.2,,,52.0,2026-10-03T19:30:00.000Z
Cincinnati @ Arizona,8.13,,,52.0,2026-10-03T04:00:00.000Z
Eastern Michigan @ Massachusetts,9.69,,,52.0,2026-10-03T04:00:00.000Z
Florida @ Missouri,3.33,,,52.0,2026-10-03T04:00:00.000Z
Georgia Southern @ Coastal Carolina,4.58,,,52.0,2026-10-03T04:00:00.000Z
Kentucky @ South Carolina,6.91,,,52.0,2026-10-03T04:00:00.000Z
Louisville @ NC State,-5.98,,,52.0,2026-10-03T04:00:00.000Z
Marshall @ James Madison,17.2,,,52.0,2026-10-03T04:00:00.000Z
Maryland @ Nebraska,9.0,,,52.0,2026-10-03T04:00:00.000Z
Memphis @ Charlotte,-12.52,,,52.0,2026-10-03T04:00:00.000Z
Miami @ Clemson,-14.5,,,52.0,2026-10-03T04:00:00.000Z
Michigan @ Minnesota,-6.76,,,52.0,2026-10-03T04:00:00.000Z
Michigan State @ Wisconsin,-0.96,,,52.0,2026-10-03T04:00:00.000Z
Middle Tennessee @ Kansas,1.02,,,52.0,2026-10-03T04:00:00.000Z
Navy @ Air Force,1.17,,,52.0,2026-10-03T16:00:00.000Z
Notre Dame @ North Carolina,-19.22,,,52.0,2026-10-03T04:00:00.000Z
Ohio @ Kent State,-3.93,,,52.0,2026-10-03T04:00:00.000Z
Ohio State @ Iowa,-3.6,,,52.0,2026-10-03T04:00:00.000Z
Old Dominion @ Georgia State,0.78,,,52.0,2026-10-03T04:00:00.000Z
Oregon State @ Colorado State,6.44,,,52.0,2026-10-03T22:00:00.000Z
Penn State @ Northwestern,-5.43,,,52.0,2026-10-03T00:00:00.000Z
Purdue @ Illinois,13.42,,,52.0,2026-10-03T04:00:00.000Z
Stanford @ Wake Forest,15.29,,,52.0,2026-10-03T04:00:00.000Z
Syracuse @ UConn,10.16,,,52.0,2026-10-03T16:00:00.000Z
Temple @ South Florida,15.31,,,52.0,2026-10-03T04:00:00.000Z
Texas Tech @ Colorado,-14.19,,,52.0,2026-10-03T04:00:00.000Z
Toledo @ Ball State,-12.13,,,52.0,2026-10-03T04:00:00.000Z
UCF @ Houston,6.51,,,52.0,2026-10-03T04:00:00.000Z
UL Monroe @ South Alabama,11.91,,,52.0,2026-10-03T04:00:00.000Z
UTEP @ New Mexico,24.09,,,52.0,2026-10-03T04:00:00.000Z
UTSA @ Rice,-7.06,,,52.0,2026-10-03T04:00:00.000Z
Utah State @ Boise State,11.64,,,52.0,2026-10-03T23:30:00.000Z
Vanderbilt @ Georgia,13.94,,,52.0,2026-10-03T04:00:00.000Z
Virginia @ Florida State,-0.31,,,52.0,2026-10-03T04:00:00.000Z
Washington @ USC,10.32,,,52.0,2026-10-03T04:00:00.000Z
West Virginia @ Iowa State,9.15,,,52.0,2026-10-03T04:00:00.000Z
Western Michigan @ Buffalo,-10.1,,,52.0,2026-10-03T04:00:00.000Z
Wyoming @ North Dakota State,24.59,,,52.0,2026-10-03T19:30:00.000Z
Fresno State @ Washington State,-3.43,,,52.0,2026-10-04T01:30:00.000Z
Indiana @ Rutgers,-25.48,,,52.0,2026-10-04T00:00:00.000Z
San José State @ Hawai'i,4.53,,,52.0,2026-10-04T03:59:00.000Z
Texas State @ San Diego State,1.68,,,52.0,2026-10-04T02:30:00.000Z
