game,projected_margin,side,posted_line,total
Georgia Southern @ Clemson,3.11,,,52.0
Middle Tennessee @ Marshall,2.98,,,52.0
San Diego State @ UCLA,2.91,,,52.0
Rutgers @ Boston College,2.89,,,52.0
New Mexico State @ Hawai'i,3.91,,,52.0
Duke @ Illinois,3.93,,,52.0
Washington State @ Kansas State,3.97,,,52.0
Sacramento State @ Fresno State,2.2,,,52.0
Maryland @ UConn,4.17,,,52.0
Buffalo @ Florida International,4.18,,,52.0
Arizona @ BYU,4.3,,,52.0
Jacksonville State @ Ohio,4.32,,,52.0
UNLV @ North Texas,2.0,,,52.0
California @ Syracuse,4.44,,,52.0
App State @ East Carolina,4.83,,,52.0
Tennessee @ Georgia Tech,0.9,,,52.0
Missouri @ Kansas,0.87,,,52.0
Southern Miss @ Auburn,5.88,,,52.0
UL Monroe @ UAB,5.98,,,52.0
Ohio State @ Texas,0.3,,,52.0
South Alabama @ Tulane,6.1,,,52.0
Memphis @ Boise State,0.22,,,52.0
Tulsa @ Sam Houston,0.08,,,52.0
Mississippi State @ Minnesota,-0.29,,,52.0
Eastern Michigan @ Michigan State,6.78,,,52.0
UTSA @ Texas State,-0.6,,,52.0
South Florida @ Army,-0.73,,,52.0
Oklahoma @ Michigan,-0.99,,,52.0
North Dakota State @ Air Force,-2.12,,,52.0
Iowa State @ Iowa,8.5,,,52.0
Louisiana Tech @ LSU,8.59,,,52.0
Georgia State @ Kennesaw State,9.14,,,52.0
Wake Forest @ Purdue,-2.86,,,52.0
Old Dominion @ Virginia Tech,-3.04,,,52.0
Utah State @ Washington,9.59,,,52.0
Arizona State @ Texas A&M,9.86,,,52.0
Arkansas @ Utah,9.88,,,52.0
UCF @ Pittsburgh,10.37,,,52.0
Bowling Green @ Nebraska,10.43,,,52.0
Delaware @ Vanderbilt,10.73,,,52.0
Alabama @ Kentucky,-4.89,,,52.0
Navy @ Florida Atlantic,-5.44,,,52.0
Western Kentucky @ Georgia,13.71,,,52.0
Louisiana @ USC,14.0,,,52.0
Penn State @ Temple,-6.22,,,52.0
Charlotte @ Ole Miss,16.38,,,52.0
Texas Tech @ Oregon State,-10.3,,,52.0
Rice @ Notre Dame,19.15,,,52.0
Oregon @ Oklahoma State,-10.46,,,52.0
