game,projected_margin,side,posted_line,total,kickoff
Army @ Temple,-1.46,,,52.0,2026-09-25T20:00:00.000Z
Navy @ UAB,-5.27,,,52.0,2026-09-25T23:00:00.000Z
App State @ NC State,4.09,,,52.0,2026-09-26T23:30:00.000Z
Arizona @ Washington State,-7.15,,,52.0,2026-09-26T23:30:00.000Z
Ball State @ Kent State,4.98,,,52.0,2026-09-26T16:00:00.000Z
Boise State @ Western Michigan,0.83,,,52.0,2026-09-26T19:30:00.000Z
Central Michigan @ Miami,27.07,,,52.0,2026-09-26T22:30:00.000Z
Clemson @ California,-3.16,,,52.0,2026-09-26T02:30:00.000Z
Colorado @ Baylor,11.71,,,52.0,2026-09-26T16:00:00.000Z
Colorado State @ UTSA,8.52,,,52.0,2026-09-26T16:00:00.000Z
Delaware @ Virginia,11.88,,,52.0,2026-09-26T22:00:00.000Z
Hawai'i @ Wyoming,-2.34,,,52.0,2026-09-26T19:00:00.000Z
Houston @ Georgia Southern,-8.07,,,52.0,2026-09-26T20:00:00.000Z
Illinois @ Ohio State,14.63,,,52.0,2026-09-26T16:00:00.000Z
Iowa @ Michigan,1.08,,,52.0,2026-09-26T19:30:00.000Z
James Madison @ Old Dominion,-9.64,,,52.0,2026-09-26T22:00:00.000Z
Kansas State @ Cincinnati,-4.12,,,52.0,2026-09-26T23:00:00.000Z
Kennesaw State @ Arkansas State,2.19,,,52.0,2026-09-26T23:00:00.000Z
Louisiana @ Charlotte,-5.05,,,52.0,2026-09-26T22:30:00.000Z
Middle Tennessee @ Jacksonville State,0.77,,,52.0,2026-09-26T23:00:00.000Z
Missouri @ Mississippi State,6.87,,,52.0,2026-09-26T23:45:00.000Z
Nebraska @ Michigan State,-2.08,,,52.0,2026-09-26T21:00:00.000Z
New Mexico @ New Mexico State,-12.65,,,52.0,2026-09-26T19:30:00.000Z
Northern Illinois @ Georgia State,11.04,,,52.0,2026-09-26T18:00:00.000Z
Northwestern @ Indiana,16.85,,,52.0,2026-09-26T00:00:00.000Z
Notre Dame @ Purdue,-21.64,,,52.0,2026-09-26T18:00:00.000Z
Oklahoma @ Georgia,11.16,,,52.0,2026-09-26T19:30:00.000Z
Oklahoma State @ West Virginia,10.8,,,52.0,2026-09-26T23:00:00.000Z
Ole Miss @ Florida,-1.26,,,52.0,2026-09-26T19:30:00.000Z
Oregon @ USC,9.45,,,52.0,2026-09-26T23:30:00.000Z
Sam Houston @ Texas Tech,23.32,,,52.0,2026-09-26T16:00:00.000Z
San Diego State @ Toledo,6.61,,,52.0,2026-09-26T16:00:00.000Z
South Alabama @ Kentucky,6.38,,,52.0,2026-09-26T16:45:00.000Z
South Carolina @ Alabama,17.35,,,52.0,2026-09-26T23:00:00.000Z
South Florida @ Bowling Green,-17.72,,,52.0,2026-09-26T21:00:00.000Z
Southern Miss @ Tulane,18.18,,,52.0,2026-09-26T23:00:00.000Z
TCU @ UCF,0.43,,,52.0,2026-09-26T19:30:00.000Z
Texas @ Tennessee,1.13,,,52.0,2026-09-26T16:00:00.000Z
Texas A&M @ LSU,4.2,,,52.0,2026-09-26T23:30:00.000Z
Troy @ Utah State,3.84,,,52.0,2026-09-26T23:30:00.000Z
UCLA @ Maryland,-0.82,,,52.0,2026-09-26T17:30:00.000Z
UConn @ Miami (OH),-1.16,,,52.0,2026-09-26T19:30:00.000Z
UNLV @ Akron,-9.38,,,52.0,2026-09-26T16:00:00.000Z
Utah @ Iowa State,-6.55,,,52.0,2026-09-26T19:30:00.000Z
Vanderbilt @ Auburn,1.82,,,52.0,2026-09-26T20:15:00.000Z
Virginia Tech @ Boston College,-9.32,,,52.0,2026-09-26T16:00:00.000Z
Wake Forest @ Louisville,7.48,,,52.0,2026-09-26T16:00:00.000Z
Wisconsin @ Penn State,19.69,,,52.0,2026-09-26T21:00:00.000Z
Air Force @ Nevada,5.13,,,52.0,2026-09-27T02:30:00.000Z
Florida Atlantic @ UL Monroe,-2.74,,,52.0,2026-09-27T00:00:00.000Z
Georgia Tech @ Stanford,-2.08,,,52.0,2026-09-27T02:30:00.000Z
Massachusetts @ Sacramento State,-1.45,,,52.0,2026-09-27T01:00:00.000Z
Minnesota @ Washington,11.4,,,52.0,2026-09-27T03:00:00.000Z
Missouri State @ SMU,17.77,,,52.0,2026-09-27T01:00:00.000Z
Oregon State @ UTEP,-3.18,,,52.0,2026-09-27T01:00:00.000Z
Rice @ Fresno State,16.31,,,52.0,2026-09-27T02:00:00.000Z
Tulsa @ Arkansas,-3.7,,,52.0,2026-09-27T00:00:00.000Z
